interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_traveltime,edge_waitingTime
950,955,1,0,84.36,0,1,18,0,0,4,6.67,77.12,119.72,3.73,76.61,78
950,955,1,0,2.78,0,0,19,0,0,1,0.54,15.38,3.93,18.63,15.16,0
950,955,1,0,40.33,0,3,2,5,5,0,2.67,22.74,57.3,12.67,22.43,10
950,955,1,0,11.89,0,1,20,1,1,0,2.38,97.34,111.19,19.25,97.13,0
950,955,1,0,3.06,0,0,21,1,1,0,0.61,163.59,30,12.03,163.26,0
950,955,1,0,4.8,0,0,22,0,0,0,0.96,18.16,5,11.69,17.82,0
950,955,1,0,9.06,0,0,23,0,0,1,3.55,13.42,7.97,13.4,13.06,0
950,955,1,0,2.41,0,1,24,0,0,0,0.47,51.89,6.63,10.66,51.51,0
950,955,1,0,,0,0,25,0,0,0,,,0,,,
950,955,1,0,16.97,0,0,26,0,0,0,3.39,80.67,15,2.24,78.88,6
950,955,1,0,,0,0,27,0,0,0,,,0,,,
950,955,1,0,0.51,0,0,28,0,0,0,0.1,176.44,5,11.15,176.08,0
950,955,1,7,48.02,0,0,3,1,1,0,6.38,37.46,158.48,17.73,37.28,0
950,955,1,3,32.47,2,0,4,2,2,2,4.31,64.2,196.96,18.96,63.94,0
