,interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_traveltime,edge_waitingTime
179,930.0,935.0,1.0,0.0,33.44,0.0,1.0,2.0,1.0,1.0,5.0,2.17,19.32,47.51,14.91,18.93,4.0
180,930.0,935.0,1.0,0.0,11.77,0.0,0.0,20.0,1.0,1.0,0.0,2.35,97.77,110.0,19.17,97.56,0.0
181,930.0,935.0,1.0,0.0,3.06,0.0,0.0,21.0,0.0,0.0,0.0,0.61,166.49,30.0,11.82,166.15,0.0
182,930.0,935.0,1.0,0.0,13.9,0.0,0.0,22.0,0.0,0.0,1.0,2.7,57.24,14.47,3.71,56.26,7.0
183,930.0,935.0,1.0,0.0,2.623333333333333,0.0,0.0,23.0,0.0,0.0,0.0,0.6633333333333334,68.79666666666667,0.0,10.986666666666665,68.42666666666666,0.0
184,930.0,935.0,1.0,1.0,2.76,0.0,0.0,24.0,0.0,0.0,0.0,0.54,54.28,7.57,10.19,53.7,0.0
185,930.0,935.0,1.0,0.0,3.69,0.0,0.0,25.0,0.0,0.0,3.0,0.7,34.2,10.14,16.18,32.93,0.0
186,930.0,935.0,1.0,0.0,4.43,0.0,2.0,26.0,0.0,0.0,0.0,0.8,17.87,3.92,10.12,17.47,0.0
187,930.0,935.0,1.0,0.0,2.5666666666666664,0.0,0.0,27.0,0.0,0.0,0.0,0.48,81.65,0.0,10.566666666666665,81.20333333333333,0.0
188,930.0,935.0,1.0,0.0,0.51,0.0,0.0,28.0,0.0,0.0,0.0,0.1,172.8,5.0,11.39,172.44,0.0
189,930.0,935.0,1.0,0.0,60.96,0.0,5.0,3.0,0.0,0.0,1.0,8.1,36.21,201.2,18.34,35.99,0.0
190,930.0,935.0,1.0,3.0,38.92,2.0,1.0,4.0,6.0,6.0,0.0,5.18,63.77,236.09,19.09,63.57,0.0
191,930.0,935.0,1.0,0.0,64.21,0.0,0.0,5.0,0.0,0.0,0.0,5.14,27.95,50.0,5.72,27.25,19.0
192,930.0,935.0,1.0,0.0,4.766666666666667,0.0,0.0,6.0,0.0,0.0,0.0,0.6466666666666666,16.543333333333333,0.0,14.423333333333334,16.220000000000002,0.0
193,930.0,935.0,1.0,1.0,19.42,0.0,0.0,7.0,1.0,1.0,0.0,2.59,35.04,66.95,19.79,34.83,0.0
194,930.0,935.0,1.0,0.0,22.11,2.0,0.0,8.0,0.0,0.0,3.0,2.93,31.91,70.33,20.06,31.72,0.0
195,930.0,935.0,1.0,0.0,54.81,0.0,3.0,9.0,0.0,0.0,0.0,5.45,22.09,47.04,7.95,21.58,21.0
196,935.0,940.0,1.0,0.0,27.59,2.0,0.0,1.0,3.0,3.0,3.0,3.67,66.81,177.28,19.3,66.61,0.0
198,935.0,940.0,1.0,0.0,42.6,0.0,3.0,11.0,2.0,2.0,2.0,2.74,14.52,32.33,10.73,13.82,5.0
199,935.0,940.0,1.0,0.0,50.67,0.0,1.0,12.0,0.0,0.0,8.0,6.69,20.92,94.73,18.06,20.7,0.0
200,935.0,940.0,1.0,1.0,16.41,0.0,8.0,13.0,0.0,0.0,0.0,2.17,65.5,100.15,18.7,65.3,0.0
201,935.0,940.0,1.0,0.0,15.03,1.0,0.0,14.0,3.0,3.0,2.0,3.0,98.94,139.11,18.75,98.73,0.0
202,935.0,940.0,1.0,0.0,84.65,0.0,1.0,15.0,1.0,1.0,0.0,6.77,111.27,122.41,2.64,109.76,87.0
203,935.0,940.0,1.0,2.0,20.98,0.0,0.0,16.0,0.0,0.0,0.0,4.19,83.43,166.86,19.11,83.21,0.0
204,935.0,940.0,1.0,0.0,11.8,0.0,0.0,17.0,2.0,2.0,0.0,1.57,46.1,50.0,18.47,45.89,0.0
205,935.0,940.0,1.0,0.0,73.99,0.0,0.0,18.0,0.0,0.0,0.0,5.92,116.63,105.0,2.47,115.01,82.0
